localization_key,English_reference,English_display
alte_stulec_nebud_blbej_a_WacT,Don't be stupid and think about it. Chenyek is acting like a child and is letting a great opportunity slip through his fingers.,"Don't be daft, think about it! Chenyek's acting like little kid, letting a great opportunity slip through his fingers."
alte_stulec_nejsou_to_jen_nCbK,"These aren't just any symbols. These are thieves' symbols, you understand? Help me out and you won't regret it!","They ain't just any old symbols. They's thieves' symbols, see? Help me out and you won't regret it!"
alte_stulec_no_vidis_kama_KJRA,"You see friend? We can all agree on that. We're better off without him, don't you think?","You see, friend? We can all agree on that. We're better off without him, don't you think?"
alte_stulec_placeholder_Ahn4,"Chenyek is a weakling, and too careful for his own good. Always babbling about his ideals, and our fellahs have to keep their mouth shut, cause they can't do this and that's not appropriate…","Chenyek is a weakling, and too careful for his own good. Always babbling about his ideals, telling our fellahs they can't do this and that's not appropriate…"
alte_stulec_pudem_si_zas__7wxj,"Let's just go on our way and forget this ever happened, eh?","Let's just go our separate ways and forget this ever happened, eh?"
ambu_event_pre__FbeP,...,<...>
ambu_event_pre__SBEA,...,<...>
ambu_event_pre__V37F,...,<...>
ambu_event_pre__x6a1,...,<...>
ambu_event_pre__yhB9,...,<...>
ambu_event_pre_a_kurva_Ef3m,"Oh, for fuck's sake.","Oh, for fuck's sake!"
ambu_event_pre_a_najednou_JC5n,"Oh, now you know my name, do you?","Oh, now you know my name all of a sudden?"
ambu_event_pre_a_ty_ses_z_UUbg,And then you start swooning to the overtures of that good-for-nothing Radim.,And then you start going with that good-for-nothing Radim.
ambu_event_pre_a_vo_me_si_ZLVp,But you never gave a damn for me.,But you wouldn't give me the time of day!
ambu_event_pre_abys_me_pa_Im34,"And let you rat me out to the guards, eh?","And let you snitch on me to the guards, eh?"
ambu_event_pre_andelicku__2NqI,"Oh, Lord have mercy...","Oh angel of God, my guardian..."
ambu_event_pre_ano_ano_ta_0rBH,"Yes, yes I understand. Here!","No, yes I understand. Here!"
ambu_event_pre_bude_tohle_PWfI,Will that be enough? That's all I have.,Will this be enough? That's all I have.
ambu_event_pre_budou_se_t_Xyd6,Your knees will be jelly by the time I'm done with you. I'm that good!,You'll go weak at the knees by the time I'm done with you. That's how good I am!
ambu_event_pre_do_hajzlu__EQd9,Shit! She won't listen!,"Fuck, there's no shutting her up!"
ambu_event_pre_ehh_wERf,Jesus...,Blegh!
ambu_event_pre_hehehe_WDiR,Ha ha ha.,Ha ha ha!
ambu_event_pre_hej_slecin_8lDL,"Hey, sweetheart!","Hey, dearie!"
ambu_event_pre_honzo_3s05,Hans?,Hansel?
ambu_event_pre_honzo_nWWp,Hans...,Hansel...
ambu_event_pre_jedna_rado_Q8Xo,What a treat.,What a treat!
ambu_event_pre_jen_nekecej_Z2FP,Cut the crap!,Cut the horseshit!
ambu_event_pre_jiste_Kaa4,"Oh, erm, right.",Of course...
ambu_event_pre_muhahaahaha_2vEP,Muahahaha!!!,Mwahahaha!
ambu_event_pre_nerozumels_bUC0,Do you not follow?,Is anything not clear to you?
ambu_event_pre_no_to_bych_Yucb,"Hmm, looks like we should...","Well, that's that then..."
ambu_event_pre_pfff_Pr1q,Pfff...,Phew...
ambu_event_pre_potrebuju__hzQe,I've a pole here needs some dancing around!,I've got a nice stump for you here in the woods!
ambu_event_pre_pozdravuj__89zi,"Praise be to the Lord! Ha ha, oh yeah!","Praise be to the Lord! Haha, oh yeah!"
ambu_event_pre_prestan_kn_6wAV,Stop your whimpering.,Stop your whimpering!
ambu_event_pre_prispej_ch_YAsk,Spare some money so a poor wayfarer can buy himself a brew?,Spare some money so a poor wayfarer can buy himself an ale?
ambu_event_pre_prosim_nec_QuvH,Please let me go.,Please let me go!
ambu_event_pre_tomasku_ja_1Wul,Tommy! I... I never mean it like that!,Tommy! I... I never meant it like that!
ambu_event_pre_vem_si_vse_xAgd,"Take everything, just let me go.","Take everything, just let me go!"
ambu_event_pre_vsechno_1DAk,Everything?!,Everything!
ambu_event_pre_zmrde_3Vxi,Motherfucker!,You fucker!
ance_zena_z_ml_dekujeme_z_x7GN,Thank you for the blessing…,Thank you for the blessing.
ance_zena_z_ml_snad_bude__LZAn,Let's hope it gets better…,Let's hope it gets better.
ance_zena_z_ml_ted_uz_je__zOn3,It's in God's hands now…,It's in God's hands now.
anez_rychtarov_ja_husa_pi_Waj1,I am such a stupid cow…,I'm a silly goose.
anna_anna_z_va_bud_na_nas_M7uY,You either ignore us or you're slandering us…,You either ignore us or slander us…
anna_anna_z_va_hruza_toli_HDVY,Horrible… so many dead… and for nothing.,Horrible! So many dead… and for nothing!
anna_anna_z_va_moji_pribu_IZ3h,"No, no. Alder is innocent in the matter. My realtives from the House of Bartosh are behind it all.","No, no. Alder is innocent in the matter. My relatives from the House of Bartosh are behind it all."
anna_anna_z_va_no_zenich__vbod,"Well, the groom rather seems to be cultivating grief at the moment.","Well, the groom isn't looking too happy at the moment."
anna_bocek_z_k_hodne_veci_aiu6,It would make things easier for you.,It would make a lot of things easier for you.
anna_bocek_z_k_koho_tim_m_xtuO,Who do you mean?,We do? Who do you mean?
anna_bohuta_pl_ehm_jako_t_gKBh,Christ..! Be praised... You're astute.,Christ...! Be praised... You're astute.
anna_bohuta_pl_jak_jsi_uz_ox35,"You manage larges estates. In return for your generosity, we offer you protection.","You manage large estates. In return for your generosity, we offer you protection."
anna_devecka_r_a_co_vubec_9zFK,What will happen to the lord now? And to us?,What will happen to His Lordship now? And to us?
anna_devecka_r_ale_proc_i_ZF6Z,Why lady Anna too? She was defenceless.,Why Lady Anna too? She was defenceless.
anna_devecka_r_musime_se__ionD,We have to take care of young Sir Christopher. And hope the old lord comes back soon.,We have to take care of young Sir Christopher. And hope his father comes back soon.
anna_devecka_r_nebrec_zat_1VC0,"Don't cry. For now, we're alive. We'll wait and see what happens…","Don't cry. For now, we're alive. We'll wait and see what comes."
anna_devecka_r_pan_krysto_YKFE,"My God, what are we going to do?",My God! What are we going to do?
anna_devecka_r_to_jim_nen_xPwX,Is nothing sacred to them? Such a slaughter…,Is nothing sacred to them? Such a bloodbath!
anna_henry_bretislav_ti_u_0hXn,I think Bretislav won't be bothering you anymore.,I think Bohunek won't be bothering you anymore.
anna_henry_diky_teda_asi__eQxQ,Thanks. I reckon. I thought you'd repay me differently.,Thanks. I suppose. I thought you'd repay me differently.
anna_henry_no_dal_mi_celk_zM0A,"To be honest, he gave me lot of trouble…","To be honest, he gave me lot of trouble."
anna_henry_no_vlastne_jo_2XQR,"Well, actually aye...","Well, actually aye."
anna_lazebnice_a_nebo_te__0aKT,"And I can also teach you something! How to mix a special salve or to make a few stitches with a needle, what do you say?","And I can also teach you something! How to mix a special ointment or to make a few stitches with a needle, what do you say?"
anna_lazebnice_a_tebe_uz__kj74,Especially you...,Especially you.
anna_lazebnice_dals_mu_co_cyUb,Did you gave him a proper licking?,Did you give him a proper licking?
anna_lazebnice_nechme_toh_DjfQ,"Oh right, I'm certain your intentions were entirely clean...","Oh right, I'm certain your intentions were entirely clean."
anna_lazebnice_to_je_prec_tN0B,"It doesn't matter Bretislav was groping me. You beat him up, so now you can grope me!","It doesn't matter Bohunek was groping me. You beat him up, so now you can grope me!"
anna_lazebnice_zaplatit_t_CmEp,"Unfortunately, I can't pay you for it, I can barely make ends meet myself...","Unfortunately, I can't pay you for it, I can barely make ends meet myself."
anna_stolba_ra_a_co_by_z__PXH3,And what for? We are not plotting against the king.,Why would they? We're not plotting against the king.
anna_stolba_ra_ale_proc_p_psRE,But why lady Anna?,But why Lady Anna?
anna_stolba_ra_aspon_to_m_8bEG,At least it was quick. While with Christopher…,At least it was quick. Whereas with Christopher…
anna_stolba_ra_chudak_sta_pEP3,Aye. Poor old man. They butchered his son and took him and the others God knows where.,Aye. Pity his poor father! They butchered his son and took him and the others God knows where.
anna_stolba_ra_co_by_jim__C9YJ,What would she do to them? She couldn't even defend herself…,What could she do to them? She couldn't even defend herself!
anna_stolba_ra_houby_zvir_BWSt,Animals? Hell no. I've been taking care of animals all my life and they would never do anything like that.,"Animals, my arse! I've been taking care of animals all my life and they'd never do anything like that."
anna_stolba_ra_kdepak_toh_TghC,Not at all. Only a man can do that.,"No, only men do such things!"
anna_stolba_ra_pana_oderi_O0OP,"They dragged lord Oderin who knows where… Almost killed his son, too.",They dragged Lord Oderin who knows where… And almost killed his son too.
anna_stolba_ra_tak_nejlip_2X18,So. The best thing we can do is keep doing our work.,Yes. The best thing we can do is to keep doing our work.
anna_stolba_ra_ti_si_neda_bbOt,They'll never leave us alone…,They'll never leave us alone.
anto_anton_kas_a_hen_sme__l3KH,"And here we are, lad. But, where has that priest gone?","And here we are, fellahs. But, where's that priest gone?"
anto_anton_kas_a_potom_uz_ixXg,And then it will be too late to look for a gift.,And then it'll be too late to look for a gift.
anto_anton_kas_ale_tohle__S3v5,"Enough of that! She can't find out about this, got it?","Enough of that! She can't find out aboot this, reet?"
anto_anton_kas_ale_vopatr_7hVM,"But careful, I think Else is a little jealous of Rosa because of me, so don't tell her I sent you.","But careful, I think Else's a little jealous of Tess because of me, so dinna tell her I sent you."
anto_anton_kas_boze_nejak_Te4x,"God, my throat is truly parched.","Christ, I'm droothy as fuck!"
anto_anton_kas_chapu_rad__njse,I understand. If you bring a gift I'll be happy to reward you. I want to make Tess happy.,"I understand. If you bring that gift, there'll be a foy in it for ye. I want to make Tess happy."
anto_anton_kas_co_je_co_j_qZi4,Huh? What's going on? Why am I sitting here?,Hey? What's going on? Why am I sitting here?
anto_anton_kas_co_penize__jbER,"To hell with money, I'll make money. I'm Caspar. Anton Caspar do you hear! … and I have money!","Ne'er mind the cost, I'll addle plenty of chink! I'm Kaspar. Anton Kaspar, do you hear! And I've got chink!"
anto_anton_kas_co_to_ma_b_eh9G,What is this? Where did that putter get to?,What's this? Where did that bugger get to?
anto_anton_kas_diky_synku_mWeq,"Thanks, I knew right away you weren't some dumb putter.","Thanks, I knew right away you weren't some gowk."
anto_anton_kas_do_haje_to_pO4y,"<expectorating> Damn, that was a hell of a fight, but we won.","Damn, that was a hell of a fight, but we won."
anto_anton_kas_dobre_ale__G4qe,"Fine, but get a move on, or Franzi and me will go without you.","Areet, but get a move on, or Franzi and me will go without you."
anto_anton_kas_dokoncime__HzlH,We'll finish the rounds without him.,We'll finish the procession without him.
anto_anton_kas_ha_tak_dou_IIID,"Ha, I hope you know what you're doing.",Hah! I hope you know what you're doing.
anto_anton_kas_hej_jindro_5Rqu,"<snorts, sighs> Hey Henry, let's go to our tavern before the watch gets here.","Hey Henry, let's go to our tavern before the catchpoles get here."
anto_anton_kas_hej_jindro_A17k,"Turning tail, Henry? Ya canna leave me here. Help me...","What are ye doing, Henry? Ya canna leave me here. Help me!"
anto_anton_kas_hej_jindro_wwAD,Hey Henry! Let's get out of here before they get back to their feet.,Hey Henry! Let's get out of here before they get back on their feet.
anto_anton_kas_hej_kama___iS5C,What the…where are we going? Where's Franzi?,What the…where are we gannin'? Where's Franzi?
anto_anton_kas_hej_synci__zKXW,"Hey laddie, no… no, not there… I don't wanna get married yet.","Hey, kiddar, no… no, not there… I dinna want to get married yet."
anto_anton_kas_hej_synku__0BW8,"Hey lad, you're the new one who's come to bless the stang with us?","Hey, son, you're the new fellah who's come to bless the stang with us?"
anto_anton_kas_hele_jindr_cwaE,"Look, fine, I'm not going to force you, I'll figure something out by myself.","Look, areet, I'm not aboot to force ye, I'll figure something out by myself."
anto_anton_kas_hm_hen_sme_A1qr,"Hm, here we are, but the Reverend seems to be running late.","Hm, here we are, but the worthy Father seems to be running late."
anto_anton_kas_hm_to_je_r_NWLR,"Hm, they're rarer than silver in this town but there are a few gardens here...","Wey, they're rarer than silver in this town, but there's a few gardens hereaboots..."
anto_anton_kas_jo_a_co_ne_qKmR,"Yeah, like what? I have to stay with the stang and after that brawl we have to lay low for a while anyway before going to St. George's.","Aye, like what? I have to stay with the stang, and after that brawl we have to lay low for a while anyway before gannin' to St. George's."
